ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
1,"[2, 32, 64, 16, 1]",relu,AdamW,5,0.006349040220317442,0.04347311863283726
2,"[2, 32, 64, 16, 1]",relu,AdamW,15,0.007674657984569998,0.02064482715705585
3,"[2, 32, 64, 16, 1]",tanh,AdamW,5,0.0020126501694071428,0.006637887730925702
4,"[2, 32, 64, 16, 1]",tanh,AdamW,15,0.012044474686223626,0.014325017469322713
5,"[2, 32, 64, 16, 1]",swish,AdamW,5,0.008770405716750836,29546.009775444123
6,"[2, 32, 64, 16, 1]",swish,AdamW,15,0.008628119239417628,0.21362978649821412
7,"[2, 50, 64, 16, 1]",relu,AdamW,5,0.00759930864506915,0.015377497423630116
8,"[2, 50, 64, 16, 1]",relu,AdamW,15,0.008198199375866315,0.020163806295370065
10,"[2, 50, 64, 16, 1]",tanh,AdamW,15,0.011190166546897452,0.012695220582648834
11,"[2, 50, 64, 16, 1]",swish,AdamW,5,0.008227343169018315,0.057095360070946656
12,"[2, 50, 64, 16, 1]",swish,AdamW,15,0.009250305029099641,0.007594298024746525
13,"[2, 64, 128, 64, 32, 16, 1]",relu,AdamW,5,0.0009678331259607892,0.005956352000385658
14,"[2, 64, 128, 64, 32, 16, 1]",relu,AdamW,15,0.004221866708221645,0.013939286852508092
17,"[2, 64, 128, 64, 32, 16, 1]",swish,AdamW,5,0.007847010643743777,0.01675329697932425
18,"[2, 64, 128, 64, 32, 16, 1]",swish,AdamW,15,0.007959142655678767,0.018663300596680577
