ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
1,"[2, 8, 1]",relu,AdamW,30,0.5831161209201317,0.12307344666880331
2,"[2, 8, 1]",relu,AdamW,60,0.6700959391082797,0.36609454974891126
3,"[2, 8, 1]",relu,RMSProp,30,0.693891495232451,0.45827960214448377
4,"[2, 8, 1]",relu,RMSProp,60,0.762514785756452,0.9165391317034053
5,"[2, 8, 1]",tanh,AdamW,30,0.4097500718722976,0.03424014622573815
6,"[2, 8, 1]",tanh,AdamW,60,0.6537789507189139,0.2238679352095754
7,"[2, 8, 1]",tanh,RMSProp,30,0.6596240058024162,0.21675410403210896
8,"[2, 8, 1]",tanh,RMSProp,60,0.8036444458401906,1.3805447504212824
9,"[2, 8, 1]",swish,AdamW,30,0.5442363543482736,0.03530977371112182
10,"[2, 8, 1]",swish,AdamW,60,0.6578029249880316,0.3224499332229597
11,"[2, 8, 1]",swish,RMSProp,30,0.582523285061407,0.10245282490765309
12,"[2, 8, 1]",swish,RMSProp,60,0.768832510000313,1.0269073168842746
13,"[2, 16, 16, 1]",relu,AdamW,30,0.31052835583343835,0.13640914521891537
14,"[2, 16, 16, 1]",relu,AdamW,60,0.4408535863331384,0.03900943012028578
15,"[2, 16, 16, 1]",relu,RMSProp,30,0.19495617510269364,0.4134744788248408
16,"[2, 16, 16, 1]",relu,RMSProp,60,0.5236905845329294,0.04077146155779616
17,"[2, 16, 16, 1]",tanh,AdamW,30,0.22421051038063364,0.1493801799038781
18,"[2, 16, 16, 1]",tanh,AdamW,60,0.3896353039351169,0.12438822592901974
19,"[2, 16, 16, 1]",tanh,RMSProp,30,0.23598524776766644,0.1611302048045576
20,"[2, 16, 16, 1]",tanh,RMSProp,60,0.38821376583671396,0.09013739071250071
21,"[2, 16, 16, 1]",swish,AdamW,30,0.23843965580450663,0.3089539170595021
22,"[2, 16, 16, 1]",swish,AdamW,60,0.4423489968418553,0.0209376828784592
23,"[2, 16, 16, 1]",swish,RMSProp,30,0.36233353961146625,0.19160399934052805
24,"[2, 16, 16, 1]",swish,RMSProp,60,0.4982518394636905,0.015870552308413662
25,"[2, 32, 64, 16, 1]",relu,AdamW,30,0.0617040566383995,0.009774468837397647
26,"[2, 32, 64, 16, 1]",relu,AdamW,60,0.3076449176646163,0.17609339345121663
27,"[2, 32, 64, 16, 1]",relu,RMSProp,30,0.0667800637330208,0.027627106993117156
28,"[2, 32, 64, 16, 1]",relu,RMSProp,60,0.1177453456395475,0.11130013644014376
29,"[2, 32, 64, 16, 1]",tanh,AdamW,30,0.17624095721637073,0.004702525782487087
30,"[2, 32, 64, 16, 1]",tanh,AdamW,60,0.28545037207017515,0.09387414792434318
31,"[2, 32, 64, 16, 1]",tanh,RMSProp,30,0.18137536015115396,0.0012470830493695347
32,"[2, 32, 64, 16, 1]",tanh,RMSProp,60,0.2615170547692716,0.0013275048711527497
