ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
1,"[2, 8, 1]",relu,AdamW,5,0.02769929044658789,0.013972509484418716
2,"[2, 8, 1]",relu,AdamW,10,0.02822963242406951,0.013804457377305382
3,"[2, 8, 1]",relu,RMSProp,5,0.027691241906450274,0.013905812435225354
4,"[2, 8, 1]",relu,RMSProp,10,0.028159998329950076,0.01375084250126915
5,"[2, 8, 1]",tanh,AdamW,5,0.027963654295663946,0.01386983895915816
6,"[2, 8, 1]",tanh,AdamW,10,0.03265960110915604,0.013735063559506893
7,"[2, 8, 1]",tanh,RMSProp,5,0.02777863929562649,0.013749943550097428
8,"[2, 8, 1]",tanh,RMSProp,10,0.027818930797160038,0.013433264703572239
9,"[2, 8, 1]",swish,AdamW,5,0.02775760034431899,0.013936745359389498
10,"[2, 8, 1]",swish,AdamW,10,0.02844619869437683,0.013601445532506794
11,"[2, 8, 1]",swish,RMSProp,5,0.02777931824706241,0.013948502516193284
12,"[2, 8, 1]",swish,RMSProp,10,0.027880329075456515,0.013603062629264792
14,"[2, 16, 16, 1]",relu,AdamW,10,0.02768140121312097,0.013597592347985722
15,"[2, 16, 16, 1]",relu,RMSProp,5,0.026847476357130917,13.84392662481598
16,"[2, 16, 16, 1]",relu,RMSProp,10,0.027715217209748854,0.013374251242220702
17,"[2, 16, 16, 1]",tanh,AdamW,5,0.02760232462795297,0.013912005762299035
22,"[2, 16, 16, 1]",swish,AdamW,10,0.027839805976260908,0.0139261993351479
50,"[2, 32, 64, 64, 32, 16, 1]",relu,AdamW,10,0.025135459247417453,0.024048663635675798
28,"[2, 32, 64, 16, 1]",relu,RMSProp,10,0.021224551972409095,1153.0980206239844
30,"[2, 32, 64, 16, 1]",tanh,AdamW,10,0.023307957768491337,0.009366164965644432
34,"[2, 32, 64, 16, 1]",swish,AdamW,10,0.027571845859631832,0.013717268236211222
52,"[2, 32, 64, 64, 32, 16, 1]",relu,RMSProp,10,0.018839400633087727,0.027846650630609943
