ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
1,"[2, 32, 64, 16, 1]",relu,AdamW,5,0.02878006132387376,0.07452823825509125
2,"[2, 32, 64, 16, 1]",relu,AdamW,10,0.02889396234350696,0.014742255092392543
3,"[2, 32, 64, 16, 1]",tanh,AdamW,5,0.032080634229115175,0.015102509809627613
4,"[2, 32, 64, 16, 1]",tanh,AdamW,10,0.03766649501743638,0.014637574423227714
5,"[2, 32, 64, 16, 1]",swish,AdamW,5,0.028842663228865757,0.015360163746420036
6,"[2, 32, 64, 16, 1]",swish,AdamW,10,0.028981388113089607,0.015509539683197574
7,"[2, 50, 64, 16, 1]",relu,AdamW,5,0.028806909034255118,0.040760768334588485
8,"[2, 50, 64, 16, 1]",relu,AdamW,10,0.028808874169836143,0.014719880986141529
9,"[2, 50, 64, 16, 1]",tanh,AdamW,5,0.03140228098881696,0.015098860194018125
10,"[2, 50, 64, 16, 1]",tanh,AdamW,10,0.03801737132590342,0.014639655059232287
11,"[2, 50, 64, 16, 1]",swish,AdamW,5,0.02882301079534979,0.015254539744006052
12,"[2, 50, 64, 16, 1]",swish,AdamW,10,0.029035307251952577,0.015702355993104596
13,"[2, 32, 64, 64, 32, 16, 1]",relu,AdamW,5,0.027100036672588045,0.07388507210134887
14,"[2, 32, 64, 64, 32, 16, 1]",relu,AdamW,10,0.023899578196053657,0.0919965865225331
16,"[2, 32, 64, 64, 32, 16, 1]",tanh,AdamW,10,0.04160211453818109,0.014596228781669041
17,"[2, 32, 64, 64, 32, 16, 1]",swish,AdamW,5,0.026624546676686227,153.05740957741293
18,"[2, 32, 64, 64, 32, 16, 1]",swish,AdamW,10,0.02661388293127783,0.29942009100280625
