ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
10,"[2, 128, 64, 16, 1]",tanh_fast,AdamW,15,0.003843218639129611,0.08494472073874065
11,"[2, 128, 64, 16, 1]",swish,AdamW,5,0.010127106615005182,0.056431852340160495
12,"[2, 128, 64, 16, 1]",swish,AdamW,15,0.010491907501422522,0.11810874714629613
1,"[2, 32, 64, 16, 1]",relu,AdamW,5,0.006493409246272656,0.09001205654931838
2,"[2, 32, 64, 16, 1]",relu,AdamW,15,0.0086423823881244,0.04351070774614938
3,"[2, 32, 64, 16, 1]",tanh_fast,AdamW,5,0.006178360662503406,0.06927056725582427
4,"[2, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.004514136944956282,0.06629474204181315
5,"[2, 32, 64, 16, 1]",swish,AdamW,5,0.014220582483566372,0.03349923595638856
6,"[2, 32, 64, 16, 1]",swish,AdamW,15,0.013764521497347032,0.025545364287401874
7,"[2, 128, 64, 16, 1]",relu,AdamW,5,0.005855589731990938,0.1209874752487603
8,"[2, 128, 64, 16, 1]",relu,AdamW,15,0.003882179394227795,0.12965779797098864
9,"[2, 128, 64, 16, 1]",tanh_fast,AdamW,5,0.006908949756027121,0.09307298630895909
