ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
10,"[2, 128, 64, 16, 1]",tanh_fast,AdamW,30,0.02105414037574256,0.02029255406013487
11,"[2, 128, 64, 16, 1]",swish,AdamW,15,0.016886577236951632,0.01651789158657259
12,"[2, 128, 64, 16, 1]",swish,AdamW,30,0.015772152943487047,0.016297446192059865
1,"[2, 32, 64, 16, 1]",relu,AdamW,15,0.01676683936056421,0.01735520992583093
2,"[2, 32, 64, 16, 1]",relu,AdamW,30,0.02127602907469825,0.024746010406502476
3,"[2, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.018980587685380634,0.01850578721348979
4,"[2, 32, 64, 16, 1]",tanh_fast,AdamW,30,0.02189037591093381,0.021008294328058525
5,"[2, 32, 64, 16, 1]",swish,AdamW,15,0.016546319181436685,0.01621129407928759
6,"[2, 32, 64, 16, 1]",swish,AdamW,30,0.017776177085288905,0.016880188833722158
7,"[2, 128, 64, 16, 1]",relu,AdamW,15,0.015173182248022795,0.016399147521238965
8,"[2, 128, 64, 16, 1]",relu,AdamW,30,0.016709611608271745,0.017004344011670013
9,"[2, 128, 64, 16, 1]",tanh_fast,AdamW,15,0.02048960369304096,0.019949496753435058
10,"[2, 128, 64, 16, 1]",tanh_fast,AdamW,30,0.02105414037574256,0.02029255406013487
