ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
19,"[3, 5, 16, 8, 1]",relu,AdamW,15,0.031043336552699183,0.028375047010175267
20,"[3, 5, 16, 8, 1]",relu,AdamW,30,0.030831341621114526,0.028311725433868933
21,"[3, 5, 16, 8, 1]",tanh_fast,AdamW,15,0.030441681989635334,0.027384463526924713
22,"[3, 5, 16, 8, 1]",tanh_fast,AdamW,30,0.032867725989110724,0.029608811945629317
23,"[3, 5, 16, 8, 1]",swish,AdamW,15,0.03040174580009707,0.02731308472846047
24,"[3, 5, 16, 8, 1]",swish,AdamW,30,0.03180335044709138,0.029101149768793785
25,"[3, 16, 32, 16, 1]",relu,AdamW,15,0.025411738744283707,0.02410160916862304
26,"[3, 16, 32, 16, 1]",relu,AdamW,30,0.022774193232264085,0.01943029174193862
27,"[3, 16, 32, 16, 1]",tanh_fast,AdamW,15,0.02561730461055966,0.024241252616917397
28,"[3, 16, 32, 16, 1]",tanh_fast,AdamW,30,0.031210697461544097,0.028198818659043532
29,"[3, 16, 32, 16, 1]",swish,AdamW,15,0.030018889837974055,0.027402142438327646
30,"[3, 16, 32, 16, 1]",swish,AdamW,30,0.030208718163779538,0.027302880615244548
