ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
10,"[3, 32, 64, 16, 8, 1]",tanh_fast,AdamW,30,0.03183627587600601,0.028503521521519238
11,"[3, 32, 64, 16, 8, 1]",swish,AdamW,15,0.021131622973798683,0.01925911716732298
12,"[3, 32, 64, 16, 8, 1]",swish,AdamW,30,0.021827852132906004,0.018758264145958537
13,"[3, 128, 64, 16, 8, 1]",relu,AdamW,15,0.02458191326925649,0.023981205303956338
14,"[3, 128, 64, 16, 8, 1]",relu,AdamW,30,0.017158340100403936,0.0151690081197353
15,"[3, 128, 64, 16, 8, 1]",tanh_fast,AdamW,15,0.02948492071207289,0.026792941953905153
16,"[3, 128, 64, 16, 8, 1]",tanh_fast,AdamW,30,0.030280660007775573,0.027395088557797872
17,"[3, 128, 64, 16, 8, 1]",swish,AdamW,15,0.03136496750080062,0.027270899805882556
18,"[3, 128, 64, 16, 8, 1]",swish,AdamW,30,0.027502262544286667,0.025104453867594394
1,"[3, 32, 32, 16, 8, 1]",relu,AdamW,15,0.030845338721889805,0.027955346875711842
2,"[3, 32, 32, 16, 8, 1]",relu,AdamW,30,0.03034644449598194,0.027600104283091044
3,"[3, 32, 32, 16, 8, 1]",tanh_fast,AdamW,15,0.02612467454281268,0.025343379874613766
4,"[3, 32, 32, 16, 8, 1]",tanh_fast,AdamW,30,0.025620250102246653,0.02377290758217114
5,"[3, 32, 32, 16, 8, 1]",swish,AdamW,15,0.02744661569653071,0.026731119958331898
6,"[3, 32, 32, 16, 8, 1]",swish,AdamW,30,0.02324583223596484,0.019330802244507936
7,"[3, 32, 64, 16, 8, 1]",relu,AdamW,15,0.02549136800128351,0.02450825781463959
8,"[3, 32, 64, 16, 8, 1]",relu,AdamW,30,0.01881615180173894,0.01597373736643234
9,"[3, 32, 64, 16, 8, 1]",tanh_fast,AdamW,15,0.02130239312779332,0.018794315232844624
