ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
10,"[3, 32, 64, 16, 1]",tanh_fast,RMSProp,15,0.00047954646696947813,0.0005253112992511556
11,"[3, 32, 64, 16, 1]",swish,AdamW,15,0.0017002379482602312,0.001801328476376856
12,"[3, 32, 64, 16, 1]",swish,RMSProp,15,0.000318861916169619,0.0003381943980716395
13,"[3, 128, 64, 16, 1]",relu,AdamW,15,6.984596124636155e-5,8.971067588763642e-5
14,"[3, 128, 64, 16, 1]",relu,RMSProp,15,0.0004235804397458766,0.0004079807134899745
15,"[3, 128, 64, 16, 1]",tanh_fast,AdamW,15,0.0052782686572149,0.005759129203195034
17,"[3, 128, 64, 16, 1]",swish,AdamW,15,0.0002618586564126806,0.0002795951704666017
18,"[3, 128, 64, 16, 1]",swish,RMSProp,15,0.0007105783196700335,0.0006944080201624058
1,"[3, 32, 32, 16, 1]",relu,AdamW,15,8.289939380945601e-5,9.626247625200701e-5
2,"[3, 32, 32, 16, 1]",relu,RMSProp,15,0.000301031557657339,0.0002530085971706958
3,"[3, 32, 32, 16, 1]",tanh_fast,AdamW,15,0.006504351709402702,0.007113841115573564
4,"[3, 32, 32, 16, 1]",tanh_fast,RMSProp,15,0.0007149750842762012,0.0008025280626921135
5,"[3, 32, 32, 16, 1]",swish,AdamW,15,0.0003890881905269317,0.0004149599510670815
6,"[3, 32, 32, 16, 1]",swish,RMSProp,15,0.0006100147317749379,0.0005608722033359476
7,"[3, 32, 64, 16, 1]",relu,AdamW,15,0.0002569178329591828,0.00022344365712202667
8,"[3, 32, 64, 16, 1]",relu,RMSProp,15,0.000306268346968963,0.00030524392829726996
9,"[3, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.0005306785573595211,0.0005977270377887073
