ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
11,"[3, 16, 32, 64, 16, 1]",swish,AdamW,15,2.8820188223710173e-5,2.455452888094309e-5
12,"[3, 16, 32, 64, 16, 1]",swish,RMSProp,15,0.00014386797019549862,0.0001260445889439505
13,"[3, 16, 32, 64, 16, 1]",relu,AdamW,15,0.0003265598134247769,0.00034397178501993566
14,"[3, 16, 32, 64, 16, 1]",relu,RMSProp,15,0.00033571273622739854,0.00035293202224683976
15,"[3, 16, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.006586880889804698,0.007208460094571783
17,"[3, 16, 32, 64, 16, 1]",swish,AdamW,15,0.00016694982709888087,0.00016532527815101797
18,"[3, 16, 32, 64, 16, 1]",swish,RMSProp,15,0.00019010292024089284,0.00019530742815212297
1,"[3, 32, 64, 32, 16, 1]",relu,AdamW,15,0.00011696357567975145,8.766000328324714e-5
2,"[3, 32, 64, 32, 16, 1]",relu,RMSProp,15,0.000346363279042338,0.00034904884437976795
3,"[3, 32, 64, 32, 16, 1]",tanh_fast,AdamW,15,0.006295031788025727,0.006898392140333756
5,"[3, 32, 64, 32, 16, 1]",swish,AdamW,15,5.451898869814115e-5,4.7752061674575236e-5
6,"[3, 32, 64, 32, 16, 1]",swish,RMSProp,15,0.00032199179803149027,0.0002586283904079084
7,"[3, 16, 32, 64, 16, 1]",relu,AdamW,15,0.000122326576073702,0.00013833721127039223
8,"[3, 16, 32, 64, 16, 1]",relu,RMSProp,15,0.000495818213498161,0.0004868672310322138
9,"[3, 16, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.00664917914189647,0.007277057702015007
