ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
01,"[3, 32, 32, 16, 1]",relu,AdamW,15,8.289939380945601e-5,9.626247625200701e-5
02,"[3, 32, 32, 16, 1]",relu,RMSProp,15,0.000301031557657339,0.0002530085971706958
03,"[3, 32, 32, 16, 1]",tanh_fast,AdamW,15,0.006504351709402702,0.007113841115573564
04,"[3, 32, 32, 16, 1]",tanh_fast,RMSProp,15,0.0007149750842762012,0.0008025280626921135
05,"[3, 32, 32, 16, 1]",swish,AdamW,15,0.0003890881905269317,0.0004149599510670815
06,"[3, 32, 32, 16, 1]",swish,RMSProp,15,0.0006100147317749379,0.0005608722033359476
07,"[3, 32, 64, 16, 1]",relu,AdamW,15,0.0002569178329591828,0.00022344365712202667
08,"[3, 32, 64, 16, 1]",relu,RMSProp,15,0.000306268346968963,0.00030524392829726996
09,"[3, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.0005306785573595211,0.0005977270377887073
10,"[3, 32, 64, 16, 1]",tanh_fast,RMSProp,15,0.00047954646696947813,0.0005253112992511556
11,"[3, 32, 64, 16, 1]",swish,AdamW,15,0.0017002379482602312,0.001801328476376856
12,"[3, 32, 64, 16, 1]",swish,RMSProp,15,0.000318861916169619,0.0003381943980716395
13,"[3, 128, 64, 16, 1]",relu,AdamW,15,6.984596124636155e-5,8.971067588763642e-5
14,"[3, 128, 64, 16, 1]",relu,RMSProp,15,0.0004235804397458766,0.0004079807134899745
15,"[3, 128, 64, 16, 1]",tanh_fast,AdamW,15,0.0052782686572149,0.005759129203195034
17,"[3, 128, 64, 16, 1]",swish,AdamW,15,0.0002618586564126806,0.0002795951704666017
18,"[3, 128, 64, 16, 1]",swish,RMSProp,15,0.0007105783196700335,0.0006944080201624058
19,"[3, 32, 64, 32, 16, 1]",relu,AdamW,15,0.00011696357567975145,8.766000328324714e-5
20,"[3, 32, 64, 32, 16, 1]",relu,RMSProp,15,0.000346363279042338,0.00034904884437976795
21,"[3, 32, 64, 32, 16, 1]",tanh_fast,AdamW,15,0.006295031788025727,0.006898392140333756
22,"[3, 32, 64, 32, 16, 1]",swish,AdamW,15,5.451898869814115e-5,4.7752061674575236e-5
23,"[3, 32, 64, 32, 16, 1]",swish,RMSProp,15,0.00032199179803149027,0.0002586283904079084
24,"[3, 16, 32, 64, 16, 1]",relu,AdamW,15,0.000122326576073702,0.00013833721127039223
25,"[3, 16, 32, 64, 16, 1]",relu,RMSProp,15,0.000495818213498161,0.0004868672310322138
26,"[3, 16, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.00664917914189647,0.007277057702015007
27,"[3, 16, 32, 64, 16, 1]",swish,AdamW,15,2.8820188223710173e-5,2.455452888094309e-5
28,"[3, 16, 32, 64, 16, 1]",swish,RMSProp,15,0.00014386797019549862,0.0001260445889439505
29,"[3, 16, 32, 64, 16, 1]",relu,AdamW,15,0.0003265598134247769,0.00034397178501993566
30,"[3, 16, 32, 64, 16, 1]",relu,RMSProp,15,0.00033571273622739854,0.00035293202224683976
31,"[3, 16, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.006586880889804698,0.007208460094571783
32,"[3, 16, 32, 64, 16, 1]",swish,AdamW,15,0.00016694982709888087,0.00016532527815101797
33,"[3, 16, 32, 64, 16, 1]",swish,RMSProp,15,0.00019010292024089284,0.00019530742815212297
