ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
10,"[3, 16, 32, 16, 1]",tanh_fast,AdamW,30,0.020538211862626807,0.020030335953646655
11,"[3, 16, 32, 16, 1]",swish,AdamW,15,0.021833509593849804,0.020092619158543972
12,"[3, 16, 32, 16, 1]",swish,AdamW,30,0.025760645244343777,0.022260475601842567
1,"[3, 5, 16, 8, 1]",relu,AdamW,15,0.027426599810485713,0.024948600701013637
2,"[3, 5, 16, 8, 1]",relu,AdamW,30,0.027654084079081594,0.025030213349670104
3,"[3, 5, 16, 8, 1]",tanh_fast,AdamW,15,0.021422688913940585,0.02049392672008637
4,"[3, 5, 16, 8, 1]",tanh_fast,AdamW,30,0.027837211244242398,0.024924305663433823
5,"[3, 5, 16, 8, 1]",swish,AdamW,15,0.027362265245210838,0.024633569208684467
6,"[3, 5, 16, 8, 1]",swish,AdamW,30,0.027039044213610138,0.02435174235791486
7,"[3, 16, 32, 16, 1]",relu,AdamW,15,0.027558170825342974,0.024888253227452764
8,"[3, 16, 32, 16, 1]",relu,AdamW,30,0.020033067862457572,0.01942205304534179
9,"[3, 16, 32, 16, 1]",tanh_fast,AdamW,15,0.01976461930670339,0.019316197998526262
