ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
10,"[3, 32, 64, 16, 8, 1]",tanh_fast,AdamW,30,0.026598540729141425,0.07754621466492473
11,"[3, 32, 64, 16, 8, 1]",swish,AdamW,15,0.011808245839630525,0.11248686648379654
12,"[3, 32, 64, 16, 8, 1]",swish,AdamW,30,0.010323622612027279,0.15790100492190906
13,"[3, 128, 64, 16, 8, 1]",relu,AdamW,15,0.03122952883730498,0.03414165496132039
14,"[3, 128, 64, 16, 8, 1]",relu,AdamW,30,0.009022689526124091,0.21491097979031237
15,"[3, 128, 64, 16, 8, 1]",tanh_fast,AdamW,15,0.025809813081642458,0.09521039080036
16,"[3, 128, 64, 16, 8, 1]",tanh_fast,AdamW,30,0.023617624812097084,0.05899737350802223
17,"[3, 128, 64, 16, 8, 1]",swish,AdamW,15,0.010553793935557564,0.13962398156759506
18,"[3, 128, 64, 16, 8, 1]",swish,AdamW,30,0.010531866893414257,0.1563002339246068
1,"[3, 32, 32, 16, 8, 1]",relu,AdamW,15,0.0046690268588312,0.16699797344449274
2,"[3, 32, 32, 16, 8, 1]",relu,AdamW,30,0.025130851087208136,0.04320572740580093
3,"[3, 32, 32, 16, 8, 1]",tanh_fast,AdamW,15,0.01621105943008387,0.07001034775251533
4,"[3, 32, 32, 16, 8, 1]",tanh_fast,AdamW,30,0.028035047453685222,0.09459955199572777
5,"[3, 32, 32, 16, 8, 1]",swish,AdamW,15,0.010517331026190036,0.1284616614704988
6,"[3, 32, 32, 16, 8, 1]",swish,AdamW,30,0.0281585623131801,0.03354690083393994
7,"[3, 32, 64, 16, 8, 1]",relu,AdamW,15,0.009009484529328378,0.12464083318089518
8,"[3, 32, 64, 16, 8, 1]",relu,AdamW,30,0.002611448516211194,0.18241695759480167
9,"[3, 32, 64, 16, 8, 1]",tanh_fast,AdamW,15,0.028602119250732694,0.029594563184471685
