ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
11,"[3, 32, 64, 16, 1]",swish,AdamW,15,0.015618737879570488,0.36225656806648215
13,"[3, 128, 64, 16, 1]",relu,AdamW,15,0.02248052776132255,1.4149512612133133
15,"[3, 128, 64, 16, 1]",tanh_fast,AdamW,15,0.015717154165124265,0.5688529523781439
18,"[3, 128, 64, 16, 1]",swish,RMSProp,15,0.016500392495525436,0.15664104035822785
1,"[3, 32, 32, 16, 1]",relu,AdamW,15,0.015510690641408836,0.2397742642569509
2,"[3, 32, 32, 16, 1]",relu,RMSProp,15,0.015991822843103406,0.07940330207406664
3,"[3, 32, 32, 16, 1]",tanh_fast,AdamW,15,0.015810743257683793,0.41737293158312755
4,"[3, 32, 32, 16, 1]",tanh_fast,RMSProp,15,0.015594363680728902,0.5918773624246849
7,"[3, 32, 64, 16, 1]",relu,AdamW,15,0.015440804844603407,0.37564877375723504
8,"[3, 32, 64, 16, 1]",relu,RMSProp,15,0.016403123093954846,0.26241212444155726
