ID,Arquitectura,Activación,Optimizador,Batch_Size,Loss_Final_Entrenamiento,Loss_Final_Predicción
10,"[3, 16, 32, 64, 16, 1]",tanh_fast,RMSProp,15,0.01588219099069678,0.2938457532290325
11,"[3, 16, 32, 64, 16, 1]",swish,AdamW,15,0.01545517063872341,0.31394335911550425
12,"[3, 16, 32, 64, 16, 1]",swish,RMSProp,15,0.015576507844638687,0.15736280444232367
13,"[3, 16, 32, 64, 16, 1]",relu,AdamW,15,0.015533664486138488,0.16332078885550247
15,"[3, 16, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.015956111478819673,0.5272261098087768
16,"[3, 16, 32, 64, 16, 1]",tanh_fast,RMSProp,15,0.01578657889222478,0.4554692118690381
17,"[3, 16, 32, 64, 16, 1]",swish,AdamW,15,0.015508688247567952,0.25744267878323424
18,"[3, 16, 32, 64, 16, 1]",swish,RMSProp,15,0.01665833237753185,0.19610347776170237
1,"[3, 32, 64, 32, 16, 1]",relu,AdamW,15,0.015410361704033046,0.27526005402331816
2,"[3, 32, 64, 32, 16, 1]",relu,RMSProp,15,0.015422419547582136,0.16324157180739576
3,"[3, 32, 64, 32, 16, 1]",tanh_fast,AdamW,15,0.01574924418408156,0.4788419258790441
6,"[3, 32, 64, 32, 16, 1]",swish,RMSProp,15,0.015420381326839292,0.08201013546690358
7,"[3, 16, 32, 64, 16, 1]",relu,AdamW,15,0.015425795419368242,0.3181116046031994
9,"[3, 16, 32, 64, 16, 1]",tanh_fast,AdamW,15,0.01586697766410229,0.5099861434344511
